C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material,床型,H2,CO,CO2,CH4,GY
50,5.7,44.1,23.5,0.85,0.32,800,0,Silica sand,bubbling fluidized bed,18.67,37.33,36,8,
50,5.7,44.1,21,0.85,0.37,800,0,Silica sand,bubbling fluidized bed,23.63,32.34,37.31,6.72,
50,5.7,44.1,23,0.85,0.47,810,0,Silica sand,bubbling fluidized bed,24.69,30.86,37.04,7.41,
50,5.7,44.1,25,0.85,0.36,790,0,Silica sand,bubbling fluidized bed,23.63,32.34,37.31,6.72,
50,5.7,44.1,19,0.85,0.32,800,0,Silica sand,bubbling fluidized bed,20.88,39.56,29.67,9.89,
45.89,5.64,47.18,8.5,1.1,0.32,750,0,Silica sand,fluidized bed,15.23,34.79,41.53,8.45,
45.89,5.64,47.18,8.5,1.1,0.36,777,0,Silica sand,fluidized bed,18.1,31.79,41.8,8.31,
45.89,5.64,47.18,8.5,1.1,0.41,808,0,Silica sand,fluidized bed,17.69,30,43.34,8.97,
45.89,5.64,47.18,8.5,1.1,0.43,834,0,Silica sand,fluidized bed,14.17,30.06,46.53,9.24,
50.54,7.08,41.11,8,0.55,0.22,700,2.7,Silica sand,fluidized bed,22.75,45.56,21.78,9.91,
50.54,7.08,41.11,8,0.55,0.22,750,2.7,Silica sand,fluidized bed,29.6,41.25,20.47,8.69,
50.54,7.08,41.11,8,0.55,0.22,850,2.7,Silica sand,fluidized bed,37.47,35.68,19.31,7.54,
50.54,7.08,41.11,8,0.55,0.22,900,2.7,Silica sand,fluidized bed,40.16,33.98,19.61,6.25,
50.54,7.08,41.11,8,0.55,0.19,800,1.56,Silica sand,fluidized bed,33.6,39.68,18.57,8.15,
50.54,7.08,41.11,8,0.55,0.21,800,1.56,Silica sand,fluidized bed,32.73,41.14,17.65,8.47,
50.54,7.08,41.11,8,0.55,0.25,800,1.56,Silica sand,fluidized bed,32.32,41.31,18.81,7.55,
50.54,7.08,41.11,8,0.55,0.27,800,1.56,Silica sand,fluidized bed,33.07,39.44,20.68,6.81,
50.54,7.08,41.11,8,0.55,0.22,800,0,Silica sand,fluidized bed,33.98,43.61,16.2,6.21,
50.54,7.08,41.11,8,0.55,0.22,800,1.35,Silica sand,fluidized bed,31.14,42.28,17.72,8.86,
50.54,7.08,41.11,8,0.55,0.22,800,2.7,Silica sand,fluidized bed,33.43,39.11,19.41,8.05,
50.54,7.08,41.11,8,0.55,0.22,800,4.04,Silica sand,fluidized bed,33.06,38.83,20.36,7.76,
49.47,5.79,41.94,6.28,0.71,0.19,780,0,Ofite,fluidized bed,25.58,35.27,27.52,11.63,
49.47,5.79,41.94,6.28,0.71,0.23,752,0.18,Ofite,fluidized bed,28.91,27.33,33.47,10.3,
49.47,5.79,41.94,6.28,0.71,0.27,805,0,Ofite,fluidized bed,25.05,34.99,29.62,10.34,
49.47,5.79,41.94,6.28,0.71,0.27,786,0.23,Ofite,fluidized bed,28.06,30.06,32.46,9.42,
49.47,5.79,41.94,6.28,0.71,0.27,755,0.43,Ofite,fluidized bed,31.15,22.88,35.77,10.19,
49.47,5.79,41.94,6.28,0.71,0.35,812,0,Ofite,fluidized bed,19.46,35.35,33.78,11.41,
49.47,5.79,41.94,6.28,0.71,0.33,789,0.45,Ofite,fluidized bed,27.31,28.34,34.91,9.45,
49.47,5.79,41.94,6.28,0.71,0.24,785,0,Ofite,fluidized bed,25.44,34.83,28.18,11.55,
49.47,5.79,41.94,6.28,0.71,0.3,808,0,Ofite,fluidized bed,22.57,36.23,30.64,10.56,
49.47,5.79,41.94,6.28,0.71,0.36,813,0,Ofite,fluidized bed,19.19,35.89,33.86,11.06,
45.04,6.4,21.58,6.91,18.87,0.35,850,0,Ofite,fluidized bed,7.11,25.52,56.07,11.3,
45.04,6.4,21.58,6.91,18.87,0.31,843,0,Ofite,fluidized bed,7.75,25.19,55.04,12.02,
45.04,6.4,21.58,6.91,18.87,0.29,832,0,Ofite,fluidized bed,13.04,26.09,48.16,12.71,
45.04,6.4,21.58,6.91,18.87,0.25,808,0,Ofite,fluidized bed,21.31,29.78,37.7,11.2,
46.4,5.33,32.13,8.66,14.21,0.23,770,0,Ofite,fluidized bed,27.97,23.79,33.48,14.76,
30.88,4.36,15.61,8.65,43.15,0.3,840,0,Ofite,fluidized bed,20.19,23.8,36.54,19.47,
45.1,5.3,26.13,22.1,17.55,0.18,700,0,Silica sand,bubbling fluidized bed,28.26,20.83,43.74,7.16,
45.1,5.3,26.13,22.1,17.55,0.22,700,0,Silica sand,bubbling fluidized bed,32.32,23.74,36.83,7.11,
45.1,5.3,26.13,22.1,17.55,0.3,700,0.24,Silica sand,bubbling fluidized bed,37.2,19.78,37.54,5.48,
42.68,3.3,31.72,9.95,21.68,0.35,750,0.5,Silica sand,fluidized bed,20.49,28.51,46.33,4.68,
42.68,3.3,31.72,9.95,21.68,0.3,800,0.5,Silica sand,fluidized bed,24.42,30.95,38.74,5.89,
42.68,3.3,31.72,9.95,21.68,0.35,800,0.2,Silica sand,fluidized bed,17.8,32.08,43.56,6.56,
42.68,3.3,31.72,9.95,21.68,0.4,800,0.5,Silica sand,fluidized bed,21.1,26.81,47.25,4.84,
42.68,3.3,31.72,9.95,21.68,0.35,850,0.5,Silica sand,fluidized bed,25.52,30.08,38.17,6.22,
42.68,3.3,31.72,9.95,21.68,0.35,800,0.8,Silica sand,fluidized bed,24.53,26.4,43.87,5.2,
42.68,3.3,31.72,9.95,21.68,0.35,850,0.8,Silica sand,fluidized bed,25.89,28.06,40.32,5.73,
46.26,6.68,25.34,6.4,20.78,0.26,852,0,Olivine,bubbling fluidized bed,19.23,26.99,42.43,11.36,
46.26,6.68,25.34,6.4,20.78,0.27,869,0,Olivine,bubbling fluidized bed,23.6,29.28,34.34,12.78,
46.26,6.68,25.34,6.4,20.78,0.3,879,0,Olivine,bubbling fluidized bed,23,29.03,35.82,12.14,
46.26,6.68,25.34,6.4,20.78,0.32,898,0,Olivine,bubbling fluidized bed,19.04,34.24,37.76,8.96,
47.2,6.2,39.7,7.8,4.88,0.25,650,0,Silica sand,fluidized bed,19.5,30.69,43.9,5.91,
47.2,6.2,39.7,7.8,4.88,0.25,750,0,Silica sand,fluidized bed,15.23,32.04,44.45,8.28,
47.2,6.2,39.7,7.8,4.88,0.25,850,0,Silica sand,fluidized bed,16.02,36.39,40.59,6.99,
47.2,6.2,39.7,7.8,4.88,0.25,950,0,Silica sand,fluidized bed,20.24,38.71,34.45,6.59,
47.2,6.2,39.7,7.8,4.88,0.17,770,0,Silica sand,fluidized bed,16.29,35.45,40.9,7.36,
47.2,6.2,39.7,7.8,4.88,0.21,770,0,Silica sand,fluidized bed,12.11,36.4,42.18,9.31,
47.2,6.2,39.7,7.8,4.88,0.28,770,0,Silica sand,fluidized bed,11.68,34.65,46.29,7.37,
47.2,6.2,39.7,7.8,4.88,0.32,770,0,Silica sand,fluidized bed,9.75,33.1,50.46,6.7,
52.65,6.83,35.68,14.6,0.47,0.25,750,0,Silica sand,fluidized bed,14.49,36.35,43.34,5.82,
52.65,6.83,35.68,14.6,0.47,0.25,850,0,Silica sand,fluidized bed,17.61,33.05,43.15,6.18,
52.65,6.83,35.68,14.6,0.47,0.25,950,0,Silica sand,fluidized bed,29.6,31.44,33.15,5.81,
52.65,6.83,35.68,14.6,0.47,0.25,1050,0,Silica sand,fluidized bed,36.26,33.17,25.39,5.19,
85.17,13.83,0,0.2,1,0.31,898,0,Silica sand,bubbling fluidized bed,29.14,7.91,37.41,25.54,
85.17,13.83,0,0.2,1,0.2,845,0,Silica sand,bubbling fluidized bed,28.98,8.92,28.98,33.12,
85.17,13.83,0,0.2,1,0.27,807,0,Olivine,bubbling fluidized bed,53.27,39.6,2.77,4.36,
85.17,13.83,0,0.2,1,0.2,819,0,Olivine,bubbling fluidized bed,56.26,34.39,2.99,6.36,
85.17,13.83,0,0.2,1,0.31,825,0,Olivine,bubbling fluidized bed,49.18,39.96,6.76,4.1,
85.17,13.83,0,0.2,1,0.21,825,0,Olivine,bubbling fluidized bed,56.41,34.8,2.93,5.86,
85.17,13.83,0,0.2,1,0.29,850,0,Olivine,bubbling fluidized bed,55.22,39.66,2.28,2.85,
84.65,14.04,0,0.3,1.3,0.23,818,0,Olivine,bubbling fluidized bed,57.52,32.89,4.32,5.26,
84.65,14.04,0,0.3,1.3,0.24,829,0,Olivine,bubbling fluidized bed,55.04,37.13,3.17,4.66,
68.51,10.26,14.39,0.6,6.74,0.31,914,0,Olivine,bubbling fluidized bed,22.68,16.49,39.18,21.65,
68.51,10.26,14.39,0.6,6.74,0.25,884,0,Olivine,bubbling fluidized bed,24.92,14.33,36.14,24.61,
68.51,10.26,14.39,0.6,6.74,0.22,869,0,Olivine,bubbling fluidized bed,23.53,12.8,38.41,25.26,
80.06,13.19,4.53,0.7,1.91,0.24,890,0,Olivine,bubbling fluidized bed,28.57,13.39,32.44,25.6,
57.1,8.16,27.86,5.6,6.25,0.26,879,0,Olivine,bubbling fluidized bed,23.52,27.55,33.97,14.96,
57.1,8.16,27.86,5.6,6.25,0.31,915,0,Olivine,bubbling fluidized bed,20.9,28.84,37.3,12.96,
57.9,8.46,16,1.9,16.51,0.34,899,0,Olivine,bubbling fluidized bed,17.61,22.69,40,19.7,
57.9,8.46,16,1.9,16.51,0.23,869,0,Olivine,bubbling fluidized bed,23.35,23.1,32.49,21.07,
32.31,5.37,14.38,8.7,41.7,0.3,800,0,Silica sand,fluidized bed,28.45,24.86,37.57,9.12,
32.31,5.37,14.38,8.7,41.7,0.3,800,0,Silica sand,fluidized bed,28.96,22.87,40.24,7.93,
32.31,5.37,14.38,8.7,41.7,0.3,800,0,Silica sand,fluidized bed,25.68,24.77,40.48,9.06,
32.31,5.37,14.38,8.7,41.7,0.3,800,1,Silica sand,fluidized bed,30.79,19.37,41.9,7.94,
32.31,5.37,14.38,8.7,41.7,0.3,800,1,Silica sand,fluidized bed,27.13,23.48,42.38,7.01,
27.3,4.8,18.9,7,44,0.3,750,0,Silica sand,bubbling fluidized bed,24.28,22.04,45.05,8.63,
27.3,4.8,18.9,7,44,0.3,800,0,Silica sand,bubbling fluidized bed,29.3,22.54,39.72,8.45,
27.3,4.8,18.9,7,44,0.2,750,0,Silica sand,bubbling fluidized bed,28.08,20.63,40.69,10.6,
27.3,4.8,18.9,7,44,0.2,800,0,Silica sand,bubbling fluidized bed,32.41,24.77,31.48,11.34,
27.3,4.8,18.9,7,44,0.2,850,0,Silica sand,bubbling fluidized bed,34.38,26.42,27.25,11.95,
27.3,4.8,18.9,7,44,0.3,750,0,Silica sand,bubbling fluidized bed,24.28,22.04,45.05,8.63,
27.3,4.8,18.9,7,44,0.3,850,0,Silica sand,bubbling fluidized bed,3.99,36.59,47.46,11.96,
27.3,4.8,18.9,7,44,0.4,750,0,Silica sand,bubbling fluidized bed,14.16,19.03,62.39,4.42,
27.3,4.8,18.9,7,44,0.4,800,0,Silica sand,bubbling fluidized bed,26.9,21.84,43.67,7.59,
27.3,4.8,18.9,7,44,0.4,850,0,Silica sand,bubbling fluidized bed,28.7,24.26,40.83,6.21,
27.3,4.8,18.9,7,44,0.3,800,0.5,Silica sand,bubbling fluidized bed,29.49,22.52,39.68,8.31,
27.3,4.8,18.9,7,44,0.3,850,0.5,Silica sand,bubbling fluidized bed,35.88,24.07,32.64,7.41,
27.3,4.8,18.9,7,44,0.3,750,1,Silica sand,bubbling fluidized bed,27.55,21.49,42.98,7.99,
27.3,4.8,18.9,7,44,0.3,800,1,Silica sand,bubbling fluidized bed,31.17,22.34,39.48,7.01,
50,6.2,36.3,7.6,6.3,0.17,700,0,Ofite,bubbling fluidized bed,24,28,36,12,
50,6.2,36.3,7.6,6.3,0.2,740,0,Ofite,bubbling fluidized bed,23.91,26.09,36.96,13.04,
50,6.2,36.3,7.6,6.3,0.22,750,0,Ofite,bubbling fluidized bed,23.53,23.53,39.22,13.73,
50,6.2,36.3,7.6,6.3,0.23,760,0,Ofite,bubbling fluidized bed,26.67,20,37.78,15.56,
50,6.2,36.3,7.6,6.3,0.29,780,0,Ofite,bubbling fluidized bed,22.73,29.55,36.36,11.36,
50,6.2,36.3,7.6,6.3,0.31,820,0,Ofite,bubbling fluidized bed,20.45,31.82,36.36,11.36,
37.6,5.42,33.2,9.08,23.4,0.25,665,0,Alumina,fluidized bed,9.7,48.24,35.03,7.03,
37.6,5.42,33.2,9.08,23.4,0.3,744,0,Alumina,fluidized bed,10.13,40.05,43.48,6.35,
37.6,5.42,33.2,9.08,23.4,0.35,670,0,Alumina,fluidized bed,9.69,46.99,37.26,6.06,
37.6,5.42,33.2,9.08,23.4,0.3,750,0,Alumina,fluidized bed,9.37,39.76,45.36,5.51,
37.6,5.42,33.2,9.08,23.4,0.35,822,0,Alumina,fluidized bed,9.36,35.88,49.45,5.31,
37.6,5.42,33.2,9.08,23.4,0.35,700,0,Alumina,fluidized bed,9.64,42.79,41.91,5.66,
37.6,5.42,33.2,9.08,23.4,0.35,828,0,Alumina,fluidized bed,9.34,35.32,50.06,5.29,
49,6.1,44.4,7,0.4,0.21,700,0,Alumina,fluidized bed,23.06,31.24,35.76,9.95,
49,6.1,44.4,7,0.4,0.21,700,0,Alumina,fluidized bed,21.16,31.96,36.26,10.63,
49,6.1,44.4,7,0.4,0.21,700,0,Alumina,fluidized bed,22.17,32.2,35.59,10.04,
49,6.1,44.4,7,0.4,0.24,750,0,Alumina,fluidized bed,19.91,35.44,34.1,10.54,
49,6.1,44.4,7,0.4,0.24,750,0,Alumina,fluidized bed,21.23,33.55,34.88,10.34,
49,6.1,44.4,7,0.4,0.23,800,0,Alumina,fluidized bed,20.69,38.14,30.96,10.21,
49,6.1,44.4,7,0.4,0.23,800,0,Alumina,fluidized bed,21.56,35.5,33.07,9.87,
48.11,5.58,39.42,7.03,6.1,0.3,826,0,Silica sand,fluidized bed,20.1,44,29.11,6.79,
48.11,5.58,39.42,7.03,6.1,0.29,874,0,Silica sand,fluidized bed,24.06,42.37,27.28,6.29,
48.91,5.9,33.08,9.69,11.37,0.2,700,0,Olivine,bubbling fluidized bed,27.95,23.65,37.6,10.81,
48.91,5.9,33.08,9.69,11.37,0.2,760,0,Olivine,bubbling fluidized bed,27.47,27.98,33.9,10.65,
37.02,4.64,38.01,9.5,0.88,0.38,761,0,Silica sand,bubbling fluidized bed,16.56,33.76,40.71,8.97,
40.9,5.13,42,18.1,0.98,0.38,730,0,Silica sand,bubbling fluidized bed,14.62,30.18,46.06,9.15,
44.97,5.64,46.17,25.5,1.07,0.38,699,0,Silica sand,bubbling fluidized bed,14.81,28.36,48.11,8.72,
45.89,1.61,51.26,27,1.1,0.36,704,0,Silica sand,bubbling fluidized bed,14.31,29.06,47.92,8.71,
45.89,1.61,51.26,27,1.1,0.45,738,0,Silica sand,bubbling fluidized bed,14.95,28.6,48.15,8.3,
45.89,1.61,51.26,27,1.1,0.49,765,0,Silica sand,bubbling fluidized bed,14.67,27.96,49.21,8.16,
50.13,2.47,45.15,24.4,1.59,0.3,726,0,Silica sand,bubbling fluidized bed,14.62,34.58,42.63,8.16,
50.13,2.47,45.15,24.4,1.59,0.38,767,0,Silica sand,bubbling fluidized bed,15.14,33.69,42.85,8.32,
50.13,2.47,45.15,24.4,1.59,0.46,807,0,Silica sand,bubbling fluidized bed,15.09,33.65,42.95,8.31,
54.22,3.27,39.3,21.8,2.05,0.3,747,0,Silica sand,bubbling fluidized bed,14.08,36.32,40.35,9.26,
54.22,3.27,39.3,21.8,2.05,0.34,769,0,Silica sand,bubbling fluidized bed,15.71,35.3,40.1,8.9,
54.22,3.27,39.3,21.8,2.05,0.38,780,0,Silica sand,bubbling fluidized bed,16.59,34.49,39.98,8.94,
54.22,3.27,39.3,21.8,2.05,0.45,829,0,Silica sand,bubbling fluidized bed,14.95,34.57,41.46,9.03,
52.16,7.14,50.89,8.9,0.47,0.19,800,0,Silica sand,bubbling fluidized bed,21.45,36.44,29.65,12.46,
80.12,6.66,49.21,6.25,1.95,0.2,800,0,Silica sand,bubbling fluidized bed,24.07,35.93,28.81,11.2,
78.16,8.35,59.42,15.01,1.65,0.22,800,0,Silica sand,bubbling fluidized bed,14.13,39.62,34.8,11.45,
46,6,37.3,8.1,9.63,0.3,800,0,Olivine,circulating fluidized bed,28.66,33.17,29.96,8.22,
46,6,37.3,8.1,9.63,0.3,750,0,Silica sand,circulating fluidized bed,25,31.4,34.2,9.4,
46,6,37.3,8.1,9.63,0.3,800,0,Silica sand,circulating fluidized bed,27.29,34.24,30.01,8.46,
48.6,6.63,39.3,8.2,2.39,0.3,750,0,Olivine,circulating fluidized bed,24.48,30.6,36.1,8.82,
48.6,6.63,39.3,8.2,2.39,0.3,750,0,Silica sand,circulating fluidized bed,22.4,32.58,37,8.02,
48.6,6.63,39.3,8.2,2.39,0.3,800,0,Silica sand,circulating fluidized bed,23.4,33.7,35.2,7.7,
44.18,5.34,45.35,5.93,4.58,0.15,650,0,Silica sand,fluidized bed,14.81,42.97,31.68,10.55,
44.18,5.34,45.35,5.93,4.58,0.15,700,0,Silica sand,fluidized bed,14.84,43.45,29.14,12.57,
44.18,5.34,45.35,5.93,4.58,0.15,800,0,Silica sand,fluidized bed,16.5,46.46,24.8,12.24,
44.18,5.34,45.35,5.93,4.58,0.15,850,0,Silica sand,fluidized bed,18.66,47.29,22.2,11.85,
44.18,5.34,45.35,5.93,4.58,0.2,650,0,Silica sand,fluidized bed,19.11,30.72,39.73,10.43,
44.18,5.34,45.35,5.93,4.58,0.2,700,0,Silica sand,fluidized bed,19.01,30.53,38.22,12.24,
44.18,5.34,45.35,5.93,4.58,0.2,800,0,Silica sand,fluidized bed,20.82,34.85,31.49,12.84,
44.18,5.34,45.35,5.93,4.58,0.2,850,0,Silica sand,fluidized bed,21.39,37.15,28.19,13.27,
44.18,5.34,45.35,5.93,4.58,0.25,650,0,Silica sand,fluidized bed,15.71,30.74,42.43,11.13,
44.18,5.34,45.35,5.93,4.58,0.25,700,0,Silica sand,fluidized bed,17.3,29.76,40.27,12.67,
44.18,5.34,45.35,5.93,4.58,0.25,800,0,Silica sand,fluidized bed,20.7,35.08,31.16,13.06,
44.18,5.34,45.35,5.93,4.58,0.25,850,0,Silica sand,fluidized bed,22.19,37.01,27.24,13.56,
