C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material,床型,H2,CO,CO2,CH4,GY
44.18,5.34,45.35,5.93,4.58,0.15,700,0,Silica sand,fluidized bed,20.85,37.07,30.14,11.94,
44.18,5.34,45.35,5.93,4.58,0.18,700,0,Silica sand,fluidized bed,21.17,33.09,35.14,10.6,
44.18,5.34,45.35,5.93,4.58,0.24,700,0,Silica sand,fluidized bed,21.15,30.77,45.76,2.31,
44.18,5.34,45.35,5.93,4.58,0.15,750,0,Silica sand,fluidized bed,21.37,40.15,27.66,10.83,
44.18,5.34,45.35,5.93,4.58,0.18,750,0,Silica sand,fluidized bed,20.36,35.94,33.09,10.6,
44.18,5.34,45.35,5.93,4.58,0.21,750,0,Silica sand,fluidized bed,20.29,33.63,40.04,6.04,
44.18,5.34,45.35,5.93,4.58,0.15,800,0,Silica sand,fluidized bed,20.28,40.97,28.28,10.47,
44.18,5.34,45.35,5.93,4.58,0.18,800,0,Silica sand,fluidized bed,21.49,35.39,32.15,10.97,
44.18,5.34,45.35,5.93,4.58,0.21,800,0,Silica sand,fluidized bed,18.74,33.12,41.07,7.07,
44.18,5.34,45.35,5.93,4.58,0.24,800,0,Silica sand,fluidized bed,18.44,27.05,48.77,5.75,
44.18,5.34,45.35,5.93,4.58,0.15,850,0,Silica sand,fluidized bed,21.34,37.59,33.23,7.83,
49.3,5.9,44.37,8.4,0.33,0.17,780,0.65,Silica sand,fluidized bed,35.75,26.9,29.03,8.32,
49.3,5.9,44.37,8.4,0.33,0.17,780,0.65,Silica sand,fluidized bed,34.74,28.77,27.89,8.6,
49.3,5.9,44.37,8.4,0.33,0.17,780,0.65,Olivine,fluidized bed,36.64,24.91,30.51,7.94,
38.3,5.1,43.1,10.3,11.7,0.26,803,0.3,Silica sand,fluidized bed,29.26565875,34.3412527,30.12958963,6.26349892,
44.6,8.5,40.8,7.2,2.1,0.26,811,0.3,Silica sand,fluidized bed,32.97180043,32.21258134,29.06724512,5.748373102,
43.2,5.7,35.9,6.8,11.3,0.26,750,0.3,Silica sand,fluidized bed,30.48648649,33.72972973,29.62162162,6.162162162,
42.85,4.94,35.4,12,3.38,0.3,654,0,Silica sand,fluidized bed,12.6,28.5,38.9,20.1,
42.85,4.94,35.4,12,3.38,0.3,758,0,Silica sand,fluidized bed,17.3,34.7,29.1,18.8,
42.85,4.94,35.4,12,3.38,0.3,820,0,Silica sand,fluidized bed,19.9,35,25.9,19.2,
42.85,4.94,35.4,12,3.38,0.22,820,0,Silica sand,fluidized bed,19.97327989,31.61879314,34.51347139,13.89445558,
42.85,4.94,35.4,12,3.38,0.33,820,0,Silica sand,fluidized bed,22.00224972,29.24634421,35.77052868,12.98087739,
42.85,4.94,35.4,12,3.38,0.45,820,0,Silica sand,fluidized bed,17.92496526,22.74201019,48.40203798,10.93098657,
38.43,2.97,36.36,9.95,19.52,0.3,750,0.6,Silica sand,bubbling fluidized bed,47.81,27.48,18.09,6.62,
38.43,2.97,36.36,9.95,19.52,0.3,750,1,Silica sand,bubbling fluidized bed,48.88,22.7,22.2,6.22,
38.43,2.97,36.36,9.95,19.52,0.3,750,1.32,Silica sand,bubbling fluidized bed,51.17,19.65,23.15,6.03,
38.43,2.97,36.36,9.95,19.52,0.3,650,1.32,Silica sand,bubbling fluidized bed,47.25,11.25,31.9,9.6,
38.43,2.97,36.36,9.95,19.52,0.3,690,1.32,Silica sand,bubbling fluidized bed,50.5,12.83,28.51,8.16,
38.43,2.97,36.36,9.95,19.52,0.3,730,1.32,Silica sand,bubbling fluidized bed,52.2,15.9,25.65,6.25,
38.43,2.97,36.36,9.95,19.52,0.3,770,1.32,Silica sand,bubbling fluidized bed,53.08,17.85,23.9,5.17,
43.1,5.1,37.7,10,3.9,0.3,619,0,Silica sand,fluidized bed,13.78621379,51.94805195,15.58441558,18.68131868,
45.3,5.4,39,9.4,0.9,0.3,790,0,Silica sand,fluidized bed,43.1,25.4,17.8,13.7,
46,5.4,40.3,7.1,0.9,0.3,791,0,Silica sand,fluidized bed,23.17682318,44.65534466,16.58341658,15.58441558,
42.8,5.3,38.5,7.9,4.3,0.3,796,0,Silica sand,fluidized bed,33.7,33,19.1,14.2,
48.69,5.62,38.07,6,0.77,0.25,716,0,Silica sand,bubbling fluidized bed,10.90057958,41.6629514,35.15381186,12.28265716,
48.69,5.62,38.07,6,0.77,0.29,774,0,Silica sand,bubbling fluidized bed,10.60641536,39.45211894,37.74291735,12.19854835,
48.69,5.62,38.07,6,0.77,0.31,823,0,Silica sand,bubbling fluidized bed,10.05807201,36.60859466,41.2543554,12.07897793,
48.69,5.62,38.07,6,0.77,0.34,845,0,Silica sand,bubbling fluidized bed,10.13546202,34.39767779,43.32365747,12.14320271,
51.26,5.54,42.29,8,0.5,0.28,800,0.75,Silica sand,bubbling fluidized bed,41.38597741,23.10979953,28.74732879,6.756894271,
51.26,5.54,42.29,8,0.5,0.26,800,0.75,Silica sand,bubbling fluidized bed,38.95984469,26.62715848,26.77020537,7.642791458,
51.26,5.54,42.29,8,0.5,0.25,800,0.9,Silica sand,bubbling fluidized bed,39.32549821,26.88809402,25.85590189,7.930505876,
51.26,5.54,42.29,8,0.5,0.22,800,0.83,Silica sand,bubbling fluidized bed,37.02900795,30.84546299,22.57664912,9.548879942,
39.78,4.97,40.02,6,14.57,0.26,968,0,Silica sand,circulating fluidized bed,29.47444465,30.16073686,28.1741015,12.19071699,
39.78,4.97,40.02,6,14.57,0.29,758,0,Silica sand,bubbling fluidized bed,11.65671312,40.96438841,34.63835435,12.74054413,
39.78,4.97,40.02,6,14.57,0.29,1036,0,Silica sand,circulating fluidized bed,31.48992778,33.44735842,24.895477,10.16723679,
50.57,5.41,43.37,34.75,1.97,0.15,800,0,Silica sand,bubbling fluidized bed,8.884775567,36.21008792,44.84035169,10.06478482,
50.54,7.08,41.11,8,0.55,0.22,700,2.7,Silica sand,fluidized bed,22.68404744,45.90233999,21.60487232,9.80874025,
50.54,7.08,41.11,8,0.55,0.22,750,2.7,Silica sand,fluidized bed,29.61945032,41.44820296,20.35940803,8.572938689,
50.54,7.08,41.11,8,0.55,0.22,800,2.7,Silica sand,fluidized bed,33.56466877,39.47423764,19.23238696,7.728706625,
50.54,7.08,41.11,8,0.55,0.22,850,2.7,Silica sand,fluidized bed,37.62108114,35.61087387,19.37298198,7.395063014,
50.54,7.08,41.11,8,0.55,0.19,800,1.56,Silica sand,fluidized bed,33.70148312,39.66550962,18.55474913,8.078258126,
50.54,7.08,41.11,8,0.55,0.21,800,1.56,Silica sand,fluidized bed,32.5760823,41.69524218,17.73467638,7.993999143,
50.54,7.08,41.11,8,0.55,0.23,800,1.56,Silica sand,fluidized bed,33.2202648,42.63048474,17.0806434,7.068607069,
50.54,7.08,41.11,8,0.55,0.25,800,1.56,Silica sand,fluidized bed,32.82934964,42.39021679,18.29905503,6.481378544,
50.54,7.08,41.11,8,0.55,0.22,800,0,Silica sand,fluidized bed,34.37433834,44.36798645,15.89032395,5.36735126,
50.54,7.08,41.11,8,0.55,0.22,800,1.35,Silica sand,fluidized bed,30.67374206,40.70880318,18.31706624,10.30038852,
50.54,7.08,41.11,8,0.55,0.22,800,2.02,Silica sand,fluidized bed,31.13140628,38.61500266,19.22326654,11.03032453,
50.54,7.08,41.11,8,0.55,0.22,800,2.7,Silica sand,fluidized bed,31.74775075,36.55448184,20.45984672,11.23792069,
50.12,6.68,43.06,113,1.4,0.26,760,0,Silica sand,bubbling fluidized bed,24.20634921,36.11111111,32.53968254,7.142857143,
50.12,6.68,43.06,113,1.4,0.26,760,0,10 % dolomite 90 % Silica sand ,bubbling fluidized bed,27.76699029,33.2038835,32.62135922,6.40776699,
50.12,6.68,43.06,113,1.4,0.26,760,0,20 % dolomite 80 % Silica sand ,bubbling fluidized bed,31.28598848,30.32629559,32.43761996,5.950095969,
50.12,6.68,43.06,113,1.4,0.26,760,0,30 % dolomite 70 % Silica sand ,bubbling fluidized bed,31.80076628,29.88505747,32.56704981,5.747126437,
50.12,6.68,43.06,113,1.4,0.32,7901,0,Silica sand,bubbling fluidized bed,22.97929192,37.92028501,36.49521265,2.605210421,
50.12,6.68,43.06,113,1.4,0.19,720,0,Silica sand,bubbling fluidized bed,26.21572944,39.14348609,29.51771063,5.123073844,
51.6,4.9,42.6,12,0.568,0.3,731,0.8,Silica sand,atmospheric fluidized bed,27.66,44.34,14,14,
51.6,4.9,42.6,12,0.568,0.3,800,0.8,Silica sand,atmospheric fluidized bed,29.88,42.57,15.45,12.11,
51.6,4.9,42.6,12,0.568,0.3,841,0.8,Silica sand,atmospheric fluidized bed,31.49,39.12,16.3,13.09,
51.6,4.9,42.6,12,0.568,0.3,890,0.8,Silica sand,atmospheric fluidized bed,34.09,39.39,14.57,11.96,
51.1,5.3,42.7,9.5,2.652,0.3,740,0.8,Silica sand,atmospheric fluidized bed,37.3,34.64,17.3,10.77,
51.1,5.3,42.7,9.5,2.652,0.3,780,0.8,Silica sand,atmospheric fluidized bed,31.86,35.35,20.58,12.22,
51.1,5.3,42.7,9.5,2.652,0.3,850,0.8,Silica sand,atmospheric fluidized bed,35.45,33.3,19.17,12.08,
51.1,5.3,42.7,9.5,2.652,0.3,901,0.8,Silica sand,atmospheric fluidized bed,45.96,30.2,17.67,6.17,
52.8,6.4,40.4,10.6,0.783,0.3,750,0.8,Silica sand,atmospheric fluidized bed,24.14,43.8,16.76,15.31,
52.8,6.4,40.4,10.6,0.783,0.3,750,0.8,Silica sand,atmospheric fluidized bed,23.42,45.17,16.32,15.1,
52.8,6.4,40.4,10.6,0.783,0.3,850,0.8,Silica sand,atmospheric fluidized bed,36.48,31.64,20.1,11.78,
52.8,6.4,40.4,10.6,0.783,0.3,886,0.8,Silica sand,atmospheric fluidized bed,42.9,35.01,13.15,8.94,
51.26,5.54,42.29,8,0.5,0.3,650,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",46.95,15.11,32.63,5.32,
51.26,5.54,42.29,8,0.5,0.3,700,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",49.67,12.37,33.04,4.92,
51.26,5.54,42.29,8,0.5,0.3,800,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",50.54,12.38,32.76,4.33,
51.26,5.54,42.29,8,0.5,0.3,850,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",52.55,14.84,29.7,2.9,
46.67,5.48,45.82,10.4,7.9,0.36,740,0,Silica sand,bubbling fluidized bed,29.48,33.19,23.95,13.39,
46.67,5.48,45.82,10.4,7.9,0.36,700,0,Silica sand,bubbling fluidized bed,27.19,33.59,25.49,13.73,
49.7,5.64,44.21,10.3,1.2,0.36,700,0,Silica sand,bubbling fluidized bed,21.22,27.34,32.01,19.42,
48.19,5.56,45.01,10.35,4.55,0.36,740,0,Silica sand,bubbling fluidized bed,22.63,32.46,27.91,16.99,
48.19,5.56,45.01,10.35,4.55,0.36,700,0,Silica sand,bubbling fluidized bed,21.93,32.7,30.08,15.29,
49.7,5.64,44.21,10.3,1.2,0.36,680,0,Silica sand,bubbling fluidized bed,20.86,27.32,35.2,16.62,
49.7,5.64,44.21,10.3,1.2,0.36,720,0,Silica sand,bubbling fluidized bed,20.42,27,30.9,21.68,
49.7,5.64,44.21,10.3,1.2,0.36,740,0,Silica sand,bubbling fluidized bed,20.38,26.85,28.89,23.88,
46.67,5.48,45.82,10.4,7.9,0.36,680,0,Silica sand,bubbling fluidized bed,26.03,35.07,25.19,13.71,
46.67,5.48,45.82,10.4,7.9,0.36,700,0,Silica sand,bubbling fluidized bed,27.13,33.64,25.49,13.74,
46.67,5.48,45.82,10.4,7.9,0.36,740,0,Silica sand,bubbling fluidized bed,29.49,33.22,23.97,13.32,
48.19,5.56,45.01,10.35,4.55,0.36,680,0,Silica sand,bubbling fluidized bed,21.71,32.37,30.91,15.02,
48.19,5.56,45.01,10.35,4.55,0.36,700,0,Silica sand,bubbling fluidized bed,21.93,32.6,30.04,15.44,
48.19,5.56,45.01,10.35,4.55,0.36,720,0,Silica sand,bubbling fluidized bed,22.17,32.49,29.19,16.15,
48.19,5.56,45.01,10.35,4.55,0.4,700,0,Silica sand,bubbling fluidized bed,19.27,33.16,34.54,13.04,
48.19,5.56,45.01,10.35,4.55,0.4,720,0,Silica sand,bubbling fluidized bed,19.83,32.54,33.49,14.15,
48.19,5.56,45.01,10.35,4.55,0.4,740,0,Silica sand,bubbling fluidized bed,20.59,32.35,31.56,15.5,
48.19,5.56,45.01,10.35,4.55,0.4,760,0,Silica sand,bubbling fluidized bed,21.46,31.94,30.5,16.1,
49.19,6.56,46.01,11.35,5.55,0.36,760,0,Silica sand,bubbling fluidized bed,22.8,31.6,28.87,16.73,
50.19,7.56,47.01,12.35,6.55,0.36,740,0,Silica sand,bubbling fluidized bed,23.54,32.36,27.35,16.74,
51.19,8.56,48.01,13.35,7.55,0.36,720,0,Silica sand,bubbling fluidized bed,22.59,32.63,27.74,17.05,
52.19,9.56,49.01,14.35,8.55,0.36,700,0,Silica sand,bubbling fluidized bed,22.13,32.52,29.16,16.18,
54.19,11.56,51.01,16.35,10.55,0.38,740,0,Silica sand,bubbling fluidized bed,22.75,32.13,27.98,17.14,
55.19,12.56,52.01,17.35,11.55,0.38,720,0,Silica sand,bubbling fluidized bed,21.39,32.86,29.32,16.43,
56.19,13.56,53.01,18.35,12.55,0.38,700,0,Silica sand,bubbling fluidized bed,20.71,33.07,30.71,15.52,
57.19,14.56,54.01,19.35,13.55,0.38,760,0,Silica sand,bubbling fluidized bed,19.88,33.84,32.59,13.69,
59.19,16.56,56.01,21.35,15.55,0.4,720,0,Silica sand,bubbling fluidized bed,20.55,32.64,31.52,15.29,
60.19,17.56,57.01,22.35,16.55,0.4,700,0,Silica sand,bubbling fluidized bed,19.91,33.01,33.55,13.53,
61.19,18.56,58.01,23.35,17.55,0.4,760,0,Silica sand,bubbling fluidized bed,19.21,33.39,34.64,12.76,
62.19,19.56,59.01,24.35,18.55,0.42,740,0,Silica sand,bubbling fluidized bed,20.22,32.15,32.8,14.83,
64.19,21.56,61.01,26.35,20.55,0.42,700,0,Silica sand,bubbling fluidized bed,19.32,32.75,35.15,12.78,
65.19,22.56,62.01,27.35,21.55,0.42,760,0,Silica sand,bubbling fluidized bed,18.39,33.06,36.16,12.39,
65.25,9.1,20.74,3.82,4.23,0.2,600,0,310S,continuous fluidized bed,9.81,15.21,58.95,16.03,
65.25,9.1,20.74,3.82,4.23,0.2,700,0,310S,continuous fluidized bed,12.92,42.06,29.46,15.56,
65.25,9.1,20.74,3.82,4.23,0.2,900,0,310S,continuous fluidized bed,14.48,47.92,15.14,22.46,
65.25,9.1,20.74,3.82,4.23,0.3,600,0,310S,continuous fluidized bed,7.69,20.09,63.9,8.31,
65.25,9.1,20.74,3.82,4.23,0.3,700,0,310S,continuous fluidized bed,10.68,36.03,40.58,12.71,
65.25,9.1,20.74,3.82,4.23,0.3,800,0,310S,continuous fluidized bed,12.64,41.5,30.11,15.75,
65.25,9.1,20.74,3.82,4.23,0.4,600,0,310S,continuous fluidized bed,5.79,20.56,67.01,6.64,
65.25,9.1,20.74,3.82,4.23,0.4,700,0,310S,continuous fluidized bed,8.98,31.9,48.2,10.93,
65.25,9.1,20.74,3.82,4.23,0.4,800,0,310S,continuous fluidized bed,11.29,38.98,36.31,13.43,
65.25,9.1,20.74,3.82,4.23,0.4,900,0,310S,continuous fluidized bed,10.12,47.06,26.88,15.94,
65.25,9.1,20.74,3.82,4.23,0.5,700,0,310S,continuous fluidized bed,7.18,31.91,52.34,8.57,
65.25,9.1,20.74,3.82,4.23,0.5,800,0,310S,continuous fluidized bed,9.08,38.09,41.89,10.94,
65.25,9.1,20.74,3.82,4.23,0.5,900,0,310S,continuous fluidized bed,8.46,47.89,30.6,13.05,
51.6,6.2,40.4,22,0.7,0.3,740,0,Silica sand,fluidized bed,17.5,21.5625,56.5625,4.375,
51.8,6.2,40.6,10,0.4,0.3,815,0,Silica sand,fluidized bed,9.493670886,30.37974684,54.11392405,6.012658228,
51.8,6.2,40.6,8.8,0.4,0.3,772,0,Silica sand,fluidized bed,10.49868766,38.58267717,43.30708661,7.611548556,
51.8,6.2,40.6,9.2,0.4,0.3,787,0,Silica sand,fluidized bed,10.91954023,36.20689655,45.11494253,7.75862069,
51.8,6.2,40.6,11.7,0.4,0.3,730,0,Silica sand,fluidized bed,13.58024691,40.98765432,37.03703704,8.395061728,
51.8,6.2,40.6,15,0.7,0.3,752,0,Silica sand,fluidized bed,9.915014164,37.96033994,44.19263456,7.932011331,
51.8,6.2,40.6,14.7,0.7,0.3,789,0,Silica sand,fluidized bed,11.2,38.93333333,41.86666667,8,
48.9,7.86,40.3,6.6,2.67,0.3,728,0,Silica sand,fluidized bed,11.69724771,45.64220183,33.25688073,9.403669725,
48.9,7.86,40.3,6.7,2.67,0.3,739,0,Silica sand,fluidized bed,23.62459547,13.26860841,52.75080906,10.35598706,
49.1,7.26,39.5,10.4,3.34,0.3,701,0,Silica sand,fluidized bed,11.71366594,46.4208243,31.88720174,9.978308026,
